Rank,Country,Documents,Citable documents,Citations,Self-Citations,Citations per Document,H index
162,Bermuda,587,551,18833,1411,34.74,69
163,Reunion,541,505,5191,126,10.28,34
164,Central African Republic,493,459,5869,317,13.96,39
165,Guyana,490,453,4238,150,10.45,30
166,Guinea,483,456,6186,250,16.89,41
167,Sierra Leone,464,425,3521,277,9.77,26
168,Eritrea,451,433,4498,367,10.71,32
169,Bhutan,448,429,2391,271,7.99,23
170,Faroe Islands,442,412,8654,666,30.14,45
171,Mauritania,442,416,4036,244,11.1,30
172,Democratic Republic Congo,437,407,5948,157,17.42,38
173,Netherlands Antilles,426,391,6612,213,16.02,42
174,Seychelles,419,392,7040,548,20.97,41
175,Guinea-Bissau,415,383,8005,1526,25.54,47
176,Lesotho,406,382,2940,155,8.83,26
177,Burundi,370,349,3180,163,11.14,28
178,Bahamas,348,322,3777,290,16.65,32
179,Chad,336,319,4365,340,13.81,32
180,Falkland Islands (Malvinas),334,316,4011,630,13.5,31
181,Belize,289,266,3491,169,16.47,32
182,Turkmenistan,284,275,1891,230,8.8,19
183,Saint Kitts and Nevis,281,185,1484,57,14.56,20
184,Solomon Islands,280,256,3453,248,15.55,31
185,Vanuatu,279,260,2536,276,11.81,26
186,Suriname,253,238,2401,176,12.5,27
187,Samoa,230,215,2152,143,10.3,25
188,Dominica,228,204,1551,122,9.29,21
189,Cayman Islands,214,196,1482,58,9.86,20
190,Virgin Islands (U.S.),199,191,2771,64,14.96,27
191,Liberia,192,157,1082,70,9.78,19
192,Maldives,184,174,1481,73,8.89,20
193,Federated States of Micronesia,175,164,1819,127,13.4,22
194,Djibouti,173,161,1002,76,8.01,16
195,San Marino,168,161,1984,50,19.95,21
196,Cape Verde,161,158,1164,93,7.92,14
197,American Samoa,149,139,1785,88,13.82,20
198,Andorra,147,128,1465,53,10.58,20
199,Equatorial Guinea,134,130,1337,132,10.74,18
200,Palau,133,129,1878,107,18.08,24
201,Virgin Islands (British),111,103,1804,52,17.21,19
202,Antigua and Barbuda,102,93,471,21,6.28,11
203,Tonga,101,96,1173,60,11.97,18
204,Timor-Leste,99,82,432,34,6.85,11
205,Somalia,98,83,526,29,8.69,14
206,Gibraltar,89,80,1174,119,17.78,17
207,Saint Lucia,87,74,1486,9,24.73,16
208,Comoros,86,80,721,43,10.83,12
209,Montserrat,84,84,1985,204,24.59,26
210,Aruba,78,68,479,7,9.91,11
211,Marshall Islands,76,70,705,30,8.66,16
212,Mayotte,72,70,352,18,5.29,10
213,Northern Mariana Islands,56,55,579,28,12.25,13
214,Cook Islands,52,50,516,36,13.95,13
215,Sao Tome and Principe,45,43,618,58,14.31,15
216,Turks and Caicos Islands,40,39,383,12,13.75,11
217,Saint Vincent and The Grenadines,35,34,449,3,15.98,11
218,Anguilla,26,23,128,5,6.13,6
219,Kiribati,26,23,137,1,7.1,8
220,Tuvalu,22,22,219,3,12.87,7
221,Vatican City State,21,12,88,3,3.88,5
222,Norfolk Island,20,20,86,0,4,6
223,United States Minor Outlying Islands,20,19,597,0,35.69,10
224,Nauru,19,19,82,1,4.88,6
225,Svalbard and Jan Mayen,19,18,264,3,19.13,8
226,British Indian Ocean Territory,16,13,228,0,21.09,7
227,Niue,15,13,18,0,0.77,2
228,Cocos (Keeling) Islands,14,14,155,0,20.79,4
229,Saint Helena,13,13,47,0,4.33,3
230,Wallis and Futuna,13,11,50,1,3.57,4
231,Christmas Island,7,7,29,0,4.83,3
232,Western Sahara,7,7,17,0,2.83,3
233,South Georgia and The South Sandwich Islands,6,5,37,0,7.4,2
234,French Southern Territories,5,5,87,0,17.4,4
235,Saint Pierre and Miquelon,5,4,6,0,1.2,1
236,Bouvet Island,4,2,23,0,4.5,2
237,Pitcairn,2,0,4,0,2,1
238,Heard Island and McDonald Islands,1,1,3,0,3,1
239,Tokelau,1,1,42,0,42,1
